SYMBOL,DATE,COMPANY,EXCHANGE,CLOSE
GCBC,2014-06-09,Greene County Bancorp Inc,NASDAQ,13.26
GCBC,2014-06-11,Greene County Bancorp Inc,NASDAQ,13.34
GCBC,2014-06-13,Greene County Bancorp Inc,NASDAQ,13.14
GCBC,2014-06-16,Greene County Bancorp Inc,NASDAQ,13.21
GCBC,2014-06-23,Greene County Bancorp Inc,NASDAQ,13.28
GCBC,2014-07-02,Greene County Bancorp Inc,NASDAQ,13.2
GCBC,2014-07-08,Greene County Bancorp Inc,NASDAQ,13.13
GCBC,2014-07-10,Greene County Bancorp Inc,NASDAQ,13.26
GCBC,2014-07-14,Greene County Bancorp Inc,NASDAQ,13.21
GCBC,2014-07-16,Greene County Bancorp Inc,NASDAQ,13.12
GCBC,2014-07-17,Greene County Bancorp Inc,NASDAQ,13.17
GCBC,2014-07-18,Greene County Bancorp Inc,NASDAQ,13.11
GCBC,2014-07-21,Greene County Bancorp Inc,NASDAQ,13.11
GCBC,2014-07-24,Greene County Bancorp Inc,NASDAQ,13.18
GCBC,2014-07-30,Greene County Bancorp Inc,NASDAQ,13.35
GCBC,2014-08-04,Greene County Bancorp Inc,NASDAQ,13.15
GCBC,2014-08-06,Greene County Bancorp Inc,NASDAQ,13.34
GCBC,2014-08-07,Greene County Bancorp Inc,NASDAQ,13.22
GCBC,2014-08-12,Greene County Bancorp Inc,NASDAQ,13.35
GCBC,2014-08-13,Greene County Bancorp Inc,NASDAQ,13.3
GCBC,2014-08-18,Greene County Bancorp Inc,NASDAQ,13.4
GCBC,2014-08-19,Greene County Bancorp Inc,NASDAQ,13.4
GCBC,2014-08-20,Greene County Bancorp Inc,NASDAQ,13.15
GCBC,2014-08-21,Greene County Bancorp Inc,NASDAQ,13.11
GCBC,2014-08-22,Greene County Bancorp Inc,NASDAQ,13.1
GCBC,2014-08-25,Greene County Bancorp Inc,NASDAQ,13.12
GCBC,2014-08-26,Greene County Bancorp Inc,NASDAQ,13
GCBC,2014-08-28,Greene County Bancorp Inc,NASDAQ,12.95
GCBC,2014-08-29,Greene County Bancorp Inc,NASDAQ,13.12
GCBC,2014-09-02,Greene County Bancorp Inc,NASDAQ,13.02
GCBC,2014-09-08,Greene County Bancorp Inc,NASDAQ,12.91
GCBC,2014-09-09,Greene County Bancorp Inc,NASDAQ,13
GCBC,2014-09-10,Greene County Bancorp Inc,NASDAQ,12.92
GCBC,2014-09-12,Greene County Bancorp Inc,NASDAQ,13.38
GCBC,2014-09-16,Greene County Bancorp Inc,NASDAQ,13.01
GCBC,2014-09-17,Greene County Bancorp Inc,NASDAQ,13.46
GCBC,2014-09-18,Greene County Bancorp Inc,NASDAQ,13.49
GCBC,2014-09-19,Greene County Bancorp Inc,NASDAQ,13.05
GCBC,2014-09-22,Greene County Bancorp Inc,NASDAQ,13.02
GCBC,2014-09-24,Greene County Bancorp Inc,NASDAQ,13.49
GCBC,2014-09-26,Greene County Bancorp Inc,NASDAQ,13.49
GCBC,2014-09-29,Greene County Bancorp Inc,NASDAQ,13.49
GCBC,2014-10-01,Greene County Bancorp Inc,NASDAQ,13.28
GCBC,2014-10-03,Greene County Bancorp Inc,NASDAQ,13.45
GCBC,2014-10-07,Greene County Bancorp Inc,NASDAQ,13.64
GCBC,2014-10-09,Greene County Bancorp Inc,NASDAQ,13.69
GCBC,2014-10-10,Greene County Bancorp Inc,NASDAQ,13.7
GCBC,2014-10-13,Greene County Bancorp Inc,NASDAQ,13.92
GCBC,2014-10-15,Greene County Bancorp Inc,NASDAQ,13.5
GCBC,2014-10-16,Greene County Bancorp Inc,NASDAQ,14
GCBC,2014-10-20,Greene County Bancorp Inc,NASDAQ,13.95
GCBC,2014-10-22,Greene County Bancorp Inc,NASDAQ,13.62
GCBC,2014-10-23,Greene County Bancorp Inc,NASDAQ,13.62
GCBC,2014-10-27,Greene County Bancorp Inc,NASDAQ,13.94
GCBC,2014-10-28,Greene County Bancorp Inc,NASDAQ,13.85
GCBC,2014-10-31,Greene County Bancorp Inc,NASDAQ,13.85
GCBC,2014-11-03,Greene County Bancorp Inc,NASDAQ,13.86
GCBC,2014-11-04,Greene County Bancorp Inc,NASDAQ,13.86
GCBC,2014-11-07,Greene County Bancorp Inc,NASDAQ,13.86
GCBC,2014-11-11,Greene County Bancorp Inc,NASDAQ,12.66
GCBC,2014-11-13,Greene County Bancorp Inc,NASDAQ,13.5
GCBC,2014-11-17,Greene County Bancorp Inc,NASDAQ,13.5
GCBC,2014-11-18,Greene County Bancorp Inc,NASDAQ,13.13
GCBC,2014-11-24,Greene County Bancorp Inc,NASDAQ,27
GCBC,2014-11-25,Greene County Bancorp Inc,NASDAQ,13.5
GCBC,2014-11-26,Greene County Bancorp Inc,NASDAQ,13.75
GCBC,2014-11-28,Greene County Bancorp Inc,NASDAQ,14.75
GCBC,2014-12-01,Greene County Bancorp Inc,NASDAQ,14.25
GCBC,2014-12-02,Greene County Bancorp Inc,NASDAQ,28.73
GCBC,2014-12-03,Greene County Bancorp Inc,NASDAQ,14.5
GCBC,2014-12-04,Greene County Bancorp Inc,NASDAQ,14.8
GCBC,2014-12-05,Greene County Bancorp Inc,NASDAQ,29.4
GCBC,2014-12-08,Greene County Bancorp Inc,NASDAQ,29.87
GCBC,2014-12-10,Greene County Bancorp Inc,NASDAQ,14.83
GCBC,2014-12-12,Greene County Bancorp Inc,NASDAQ,14.85
GCBC,2014-12-16,Greene County Bancorp Inc,NASDAQ,14.51
GCBC,2014-12-17,Greene County Bancorp Inc,NASDAQ,14.68
GCBC,2014-12-18,Greene County Bancorp Inc,NASDAQ,14.68
GCBC,2014-12-19,Greene County Bancorp Inc,NASDAQ,14.53
GCBC,2014-12-22,Greene County Bancorp Inc,NASDAQ,14.65
GCBC,2014-12-23,Greene County Bancorp Inc,NASDAQ,15
GCBC,2014-12-24,Greene County Bancorp Inc,NASDAQ,14.5
GCBC,2014-12-26,Greene County Bancorp Inc,NASDAQ,15.25
GCBC,2014-12-29,Greene County Bancorp Inc,NASDAQ,15.15
GCBC,2014-12-30,Greene County Bancorp Inc,NASDAQ,14.8
GCBC,2014-12-31,Greene County Bancorp Inc,NASDAQ,15.05
GCBC,2015-01-06,Greene County Bancorp Inc,NASDAQ,14.78
GCBC,2015-01-07,Greene County Bancorp Inc,NASDAQ,14.75
GCBC,2015-01-20,Greene County Bancorp Inc,NASDAQ,13.97
GCBC,2015-01-21,Greene County Bancorp Inc,NASDAQ,14
GCBC,2015-01-22,Greene County Bancorp Inc,NASDAQ,14.7
GCBC,2015-01-23,Greene County Bancorp Inc,NASDAQ,14.31
GCBC,2015-01-26,Greene County Bancorp Inc,NASDAQ,14.71
GCBC,2015-01-27,Greene County Bancorp Inc,NASDAQ,14.42
GCBC,2015-01-28,Greene County Bancorp Inc,NASDAQ,14.21
GCBC,2015-01-30,Greene County Bancorp Inc,NASDAQ,28.05
GCBC,2015-02-04,Greene County Bancorp Inc,NASDAQ,14.72
GCBC,2015-02-05,Greene County Bancorp Inc,NASDAQ,14.75
GCBC,2015-02-10,Greene County Bancorp Inc,NASDAQ,14.75
GCBC,2015-02-18,Greene County Bancorp Inc,NASDAQ,14.5
GCBC,2015-02-19,Greene County Bancorp Inc,NASDAQ,14.25
GCBC,2015-02-20,Greene County Bancorp Inc,NASDAQ,13.99
GCBC,2015-02-23,Greene County Bancorp Inc,NASDAQ,28
GCBC,2015-02-24,Greene County Bancorp Inc,NASDAQ,14
GCBC,2015-02-25,Greene County Bancorp Inc,NASDAQ,14.5
GCBC,2015-02-26,Greene County Bancorp Inc,NASDAQ,14.5
